# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.6537	1.0000	+0.6537	0.4273
w	4.2288	4.0000	+0.2288	0.0523
e	3.3463	3.0000	+0.3463	0.1199
r	3.6358	4.0000	-0.3642	0.1326
t	1.8778	1.5000	+0.3778	0.1428
y	1.8151	1.5000	+0.3151	0.0993
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0102	1.0000	+1.0102	1.0206
a	1.9722	2.0000	-0.0278	0.0008
s	5.7084	5.0000	+0.7084	0.5018
d	6.1803	9.0000	-2.8197	7.9506
f	4.8640	8.0000	-3.1360	9.8345
g	5.0431	5.0000	+0.0431	0.0019
h	5.0966	5.0000	+0.0966	0.0093
j	6.0527	9.0000	-2.9473	8.6866
k	9.4478	10.0000	-0.5522	0.3049
l	5.9521	4.0000	+1.9521	3.8105
z	0.0000	0.0000	+0.0000	0.0000
x	3.1624	2.0000	+1.1624	1.3512
c	2.2218	2.0000	+0.2218	0.0492
v	5.1400	5.0000	+0.1400	0.0196
b	2.4936	1.5000	+0.9936	0.9872
n	4.8829	4.5000	+0.3829	0.1466
m	3.9418	3.5000	+0.4418	0.1952
