# 线程: 6
# 综合得分: 0.5419
# 重码数: 790
# 重码率: 0.036191%
# 加权键均当量: 0.1581
# 当量变异系数(CV): 1.2030
# 用指分布偏差(L2): 41.4991
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
小.Y	A	6383822
穴.A	P	6323534
纟.S	S	6314671
止.S	V	6294364
龷.A	M	6263394
矢.S	S	6246074
{二撇}.A	G	6196130
丬.A	V	6169384
ス.A	R	6154141
山.A	X	6146574
火.S	H	6131092
其.A	W	6105969
乀.A	H	6086790
耂.S	L	6038942
夫.A	F	5874394
马.S	M	5857503
兀.S	W	5855218
ユ.A	J	5828739
用.S	Y	5780828
⺌.Y	O	5768090
其.S	K	5756032
士.S	S	5741120
羊.S	Y	5740219
之.A	K	5709994
之.S	V	5709994
皮.A	T	5693305
白.S	B	5623209
{乍下}.A	S	5541558
正.A	K	5540607
豕.A	N	5527537
⺍.A	J	5524909
身.S	S	5470592
虫.A	Y	5395709
长.A	K	5388620
长.S	C	5388620
之.Y	I	5373763
皮.S	P	5367034
干.A	X	5282677
古.S	G	5255425
七.S	K	5185565
卜.A	S	5172988
忄.S	X	5165620
豕.S	S	5123040
彡.A	G	5121162
卜.S	B	5110348
⺧.A	T	5092134
手.Y	O	5076179
而.Y	E	5075337
巳.A	V	5004386
欠.S	K	4994200
石.A	K	4977745
雨.A	T	4970253
生.Y	E	4966773
罒.A	B	4953623
丂.A	M	4953525
{乞上}.Y	O	4908957
身.Y	E	4819905
乃.A	B	4817029
{二撇}.Y	O	4793072
⺮.Y	O	4767851
早.A	C	4728186
夭.A	V	4701362
⺈.Y	O	4667911
犭.A	T	4620462
卩.S	J	4617272
皿.A	B	4599317
巳.S	S	4597375
己.Y	I	4569251
䒑.S	C	4562156
面.A	G	4561487
面.S	M	4561467
尢.A	S	4534103
面.Y	A	4532962
衤.A	T	4497726
千.A	B	4491551
正.S	V	4485443
母.A	R	4477372
十.Y	I	4469557
㐄.A	J	4434203
且.A	Q	4424931
朩.S	M	4388254
尢.S	Y	4355389
㔾.A	V	4299823
{于下}.Y	O	4299239
{奉下}.S	K	4274557
乚.S	Y	4266668
{发左}.A	R	4251196
夭.S	Y	4234301
{眉上}.A	Q	4234234
且.S	K	4222917
丰.A	Q	4151797
母.S	M	4136774
虫.S	C	4130319
干.S	G	4116988
亡.A	N	4106421
页.S	Y	4082249
业.A	V	4077529
乀.S	D	4041276
{眉上}.S	S	4034278
穴.S	X	4022265
丂.S	K	4001731
衤.S	Y	3936306
冫.S	J	3934507
尚.A	S	3902233
{介下}.Y	O	3895992
亥.A	F	3860926
亥.S	H	3860926
九.A	T	3851631
广.S	G	3805830
水.S	S	3793329
匚.A	B	3792676
皿.S	M	3768294
三.A	N	3735782
已.A	V	3720796
已.S	Y	3720796
已.Y	I	3720796
㐄.S	K	3711790
又.Y	O	3710252
尚.S	S	3688998
{卬左}.A	L	3651953
户.A	T	3636686
弋.A	K	3621317
糸.A	G	3598979
戶.A	T	3534233
戶.S	H	3534233
戊.S	W	3530415
非.A	J	3526292
夫.S	F	3517358
非.S	F	3485072
方.Y	A	3471764
女.Y	U	3464575
气.A	X	3461117
见.Y	A	3460998
{豕下}.A	N	3460354
由.A	B	3443759
丷.S	B	3417103
糸.S	S	3393578
龶.S	S	3363179
向.A	H	3355996
向.S	X	3355990
气.S	K	3349416
早.S	V	3336488
{飞右}.A	G	3321374
弓.S	G	3310743
犬.S	K	3306441
力.Y	I	3298612
申.A	M	3291889
艹.S	C	3272394
亍.A	N	3272122
言.A	Q	3262982
气.Y	I	3227462
申.S	S	3225547
雨.S	Y	3213226
