# 当量分布统计
# 平均当量: 0.1581
# 变异系数(CV): 1.2030
# 标准差: 0.1902
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
本	0.9450	2579524
女	0.9133	3362646
思	0.8600	1438567
样	0.8275	4769842
杀	0.7450	1095880
来	0.7375	14837007
目	0.7333	1365310
车	0.7333	1338066
时	0.6750	8207119
五	0.6500	1170398
着	0.6450	11165468
体	0.6000	1799811
万	0.6000	1201402
飞	0.5875	1593771
安	0.5575	1580103
她	0.5500	7870163
山	0.5000	1526952
紧	0.4900	1099517
因	0.4875	2334623
文	0.4667	1637873
#
# 当量最低的20个高频字 (字频>1000000):
花	0.0000	1277183
总	0.0000	1273655
算	0.0000	1263186
工	0.0000	1242237
兵	0.0000	1226804
虽	0.0000	1211358
云	0.0000	1205872
哥	0.0000	1176477
士	0.0000	1175727
竟	0.0000	1160070
突	0.0000	1106693
音	0.0000	1100301
拉	0.0000	1096796
且	0.0000	1092816
合	0.0000	1085786
喜	0.0000	1069981
影	0.0000	1067165
象	0.0000	1041105
言	0.0000	1026005
随	0.0000	1016322
