# 当量分布统计
# 平均当量: 0.1617
# 变异系数(CV): 1.1980
# 标准差: 0.1937
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
万	0.9350	1201402
着	0.7825	11165468
女	0.7800	3362646
样	0.7450	4769842
杀	0.7450	1095880
目	0.7333	1365310
车	0.7333	1338066
来	0.7325	14837007
谁	0.7250	1064240
记	0.7075	1094800
本	0.6950	2579524
接	0.6850	1671342
时	0.6750	8207119
她	0.6000	7870163
红	0.5725	1282649
飞	0.5625	1593771
思	0.5600	1438567
许	0.5500	1299512
算	0.5500	1263186
风	0.5200	2175031
#
# 当量最低的20个高频字 (字频>1000000):
云	0.0000	1205872
认	0.0000	1184729
哥	0.0000	1176477
士	0.0000	1175727
竟	0.0000	1160070
结	0.0000	1132776
流	0.0000	1114438
突	0.0000	1106693
音	0.0000	1100301
且	0.0000	1092816
利	0.0000	1091519
合	0.0000	1085786
倒	0.0000	1085421
喜	0.0000	1069981
影	0.0000	1067165
深	0.0000	1060800
钱	0.0000	1034329
提	0.0000	1026285
言	0.0000	1026005
随	0.0000	1016322
