# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1371	1.5000	+0.6371	0.4059
w	4.0169	4.0000	+0.0169	0.0003
e	3.0939	3.0000	+0.0939	0.0088
r	3.7801	4.0000	-0.2199	0.0484
t	1.8534	2.0000	-0.1466	0.0215
y	2.0786	1.5000	+0.5786	0.3347
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.7496	2.5000	+1.2496	1.5614
p	1.8586	1.5000	+0.3586	0.1286
a	2.2123	1.0000	+1.2123	1.4697
s	5.4939	5.0000	+0.4939	0.2439
d	6.0932	8.0000	-1.9068	3.6358
f	5.0410	7.0000	-1.9590	3.8379
g	5.4700	5.0000	+0.4700	0.2209
h	5.4526	5.0000	+0.4526	0.2048
j	6.2343	7.0000	-0.7657	0.5864
k	9.3658	9.0000	+0.3658	0.1338
l	5.7071	4.0000	+1.7071	2.9143
z	0.0000	0.0000	+0.0000	0.0000
x	3.5577	3.0000	+0.5577	0.3110
c	2.1905	1.5000	+0.6905	0.4768
v	4.6430	5.0000	-0.3570	0.1274
b	2.1994	1.5000	+0.6994	0.4892
n	3.9112	4.5000	-0.5888	0.3467
m	4.0048	3.5000	+0.5048	0.2549
