# 当量分布统计
# 平均当量: 0.1505
# 变异系数(CV): 1.2292
# 标准差: 0.1850
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
白	1.3133	2322211
解	1.0250	1312068
强	0.8925	1361353
法	0.8500	2798486
虽	0.8425	1211358
东	0.7750	1783570
处	0.7750	1626691
长	0.7333	3100060
目	0.7333	1365310
时	0.7000	8207119
怕	0.6850	1114820
半	0.6700	1095098
向	0.6333	2570964
思	0.6275	1438567
色	0.5800	1988512
言	0.5500	1026005
机	0.5375	1672100
黑	0.5200	1292192
部	0.4800	1972176
经	0.4750	3923454
#
# 当量最低的20个高频字 (字频>1000000):
工	0.0000	1242237
始	0.0000	1239671
兵	0.0000	1226804
非	0.0000	1219442
云	0.0000	1205872
认	0.0000	1184729
哥	0.0000	1176477
士	0.0000	1175727
魔	0.0000	1160330
早	0.0000	1138903
结	0.0000	1132776
流	0.0000	1114438
音	0.0000	1100301
步	0.0000	1077549
越	0.0000	1069176
谁	0.0000	1064240
深	0.0000	1060800
容	0.0000	1038318
传	0.0000	1034638
随	0.0000	1016322
