# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7607	1.5000	+0.2607	0.0680
w	4.3819	4.0000	+0.3819	0.1459
e	3.3692	3.0000	+0.3692	0.1363
r	4.0239	4.0000	+0.0239	0.0006
t	1.6433	2.0000	-0.3567	0.1272
y	1.7333	1.5000	+0.2333	0.0544
u	1.6951	2.0000	-0.3049	0.0929
i	4.8044	3.5000	+1.3044	1.7014
o	2.8793	3.0000	-0.1207	0.0146
p	2.2250	1.5000	+0.7250	0.5257
a	2.0020	2.0000	+0.0020	0.0000
s	5.2508	5.0000	+0.2508	0.0629
d	6.1720	7.0000	-0.8280	0.6856
f	4.8305	6.0000	-1.1695	1.3677
g	5.3296	5.0000	+0.3296	0.1086
h	4.5489	5.0000	-0.4511	0.2035
j	7.0746	7.0000	+0.0746	0.0056
k	9.9383	10.0000	-0.0617	0.0038
l	5.6910	5.0000	+0.6910	0.4775
z	0.0000	0.0000	+0.0000	0.0000
x	2.6648	2.5000	+0.1648	0.0272
c	2.4341	2.5000	-0.0659	0.0043
v	5.0917	5.0000	+0.0917	0.0084
b	2.0017	1.5000	+0.5017	0.2517
n	4.2967	4.5000	-0.2033	0.0413
m	4.1570	3.5000	+0.6570	0.4317
