# 线程: 6
# 综合得分: 0.4596
# 重码数: 735
# 重码率: 0.028693%
# 加权键均当量: 0.1369
# 当量变异系数(CV): 1.1945
# 用指分布偏差(L2): 3.5524
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
一.A	F	203352260
口.A	S	201313561
丶.A	K	134560917
日.A	L	119273677
口.S	K	108477708
亻.A	J	106025374
丶.Y	E	98914968
人.A	N	94138610
勹.A	R	91285816
一.S	D	87983108
白.A	J	86449889
扌.A	G	70675067
土.A	V	69835241
丿.A	G	68825267
月.A	K	65756921
辶.A	L	65694277
木.A	H	56486590
丨.A	D	56039775
厶.A	J	55705929
人.S	V	55644323
女.A	D	50391945
大.A	L	49605543
小.A	J	48722119
又.A	J	48496087
土.S	D	46823040
ナ.A	H	46615814
一.Y	I	45956712
亻.Y	O	45917484
寸.A	K	44603806
也.A	K	44467566
也.S	D	44464706
氵.A	F	43555817
女.S	N	42662906
月.S	D	41364325
八.A	N	40846748
戈.A	H	40372227
目.A	Q	39529244
大.S	D	39513813
心.A	H	39436090
讠.A	N	38917370
不.A	K	38803455
不.S	B	38754867
龰.A	W	38431235
乙.A	L	37861180
阝.A	M	36908136
不.Y	I	36634242
寸.S	C	36271749
戈.S	G	35862285
匕.A	K	35716602
日.S	V	35467177
了.A	D	35251866
了.S	L	35237489
了.Y	A	34860650
龰.Y	U	34166868
⺈.A	K	33965546
人.Y	O	33555297
夊.A	Y	33400386
十.A	R	33149193
小.S	X	32323767
刂.A	W	32001918
又.S	D	31418428
力.A	T	30953355
宀.A	D	30661493
心.S	X	30486144
王.A	Q	29969785
儿.A	J	29779268
木.S	M	29297286
丷.A	G	29295332
目.S	M	28289883
子.A	D	28012405
二.A	R	27915362
䒑.A	G	25563443
子.S	F	24827047
八.S	B	24164545
米.A	M	24113647
阝.Y	A	23701702
文.A	D	23681470
立.A	V	23310911
艹.A	P	23039242
王.S	W	22623667
丁.A	M	22390866
门.A	T	22123733
纟.A	W	22112994
辶.Y	E	22106950
乂.A	N	22037283
冂.A	Q	21492882
ナ.Y	I	20952198
文.S	W	20849591
冖.A	K	20597586
文.Y	E	20498348
夕.A	J	20463268
门.S	M	20427486
{乞上}.A	M	20386840
自.A	H	20123657
匕.S	B	19363343
力.S	L	18993472
彳.A	S	18949009
彐.A	R	18895060
{奉下}.A	W	18836769
忄.A	W	18377970
禾.A	V	17489631
十.S	S	17312409
丿.Y	O	17009006
米.S	M	16999049
工.A	Y	16902804
乚.A	Q	16694505
亠.A	P	16639945
{京上}.A	W	16096690
上.A	H	16048891
扌.Y	I	15664662
至.A	M	15638843
工.S	G	15457047
囗.A	K	15414401
上.S	S	15335647
灬.A	N	15205696
耂.A	C	15112275
斤.A	W	14850899
{于下}.A	K	14702775
尤.A	S	14644155
至.S	F	14536595
ㄩ.A	V	14440683
艮.A	K	14111895
讠.Y	E	14086184
⺮.A	R	14084219
里.A	F	14069297
几.A	D	13966866
氵.Y	E	13922739
尤.S	D	13890357
艮.S	G	13815858
大.Y	I	13812252
里.S	L	13745245
车.A	T	13584393
龶.A	D	13381978
己.A	S	13146521
至.Y	I	13076282
⺀.A	R	13071066
己.S	J	12965102
尸.A	M	12929280
田.A	P	12929277
丁.S	D	12906283
厶.Y	A	12449302
口.Y	U	12370442
见.A	F	12361817
见.S	J	12273761
走.A	K	12230111
夊.Y	O	12185781
止.A	W	12162187
儿.S	W	12080850
刂.Y	U	12044968
斤.S	J	11978103
乙.S	D	11976746
⺶.A	H	11940165
上.Y	U	11918291
⺶.Y	E	11895086
廾.A	P	11868798
灬.Y	E	11794885
冫.A	R	11761908
乂.S	D	11495513
犬.A	X	11476951
巾.A	X	11447207
西.A	N	11436790
方.A	F	11286505
几.S	J	11255233
刀.A	P	11145528
殳.A	D	11133717
七.A	C	11120497
夕.S	X	11049897
宀.Y	E	10959473
巴.A	H	10729487
巴.S	B	10727649
殳.S	S	10715397
弓.A	M	10467911
⺁.A	H	10452837
贝.A	C	10424196
走.S	F	10326833
西.S	X	10301198
矢.A	L	10213052
示.A	H	10186189
禾.S	H	9946541
⺊.A	G	9852606
用.A	W	9581258
也.Y	A	9508705
兀.A	H	9359353
广.A	B	9281654
巾.S	J	9225750
自.S	F	9165103
{介下}.A	N	9102088
卩.A	S	9060574
戊.A	C	9036231
下.A	M	8917117
下.S	X	8917117
屮.A	V	8873633
子.Y	A	8873091
火.A	R	8756831
生.A	J	8756338
立.S	L	8740396
⺌.A	J	8658362
古.A	Q	8636217
二.S	W	8615035
生.S	S	8600320
下.Y	I	8550882
小.Y	U	8323921
示.S	S	8313658
龵.A	G	8296413
屮.Y	A	8294943
隹.A	P	8149437
士.A	B	8113674
土.Y	I	8061698
龵.Y	O	8030267
车.S	J	8026551
囗.Y	U	7962567
舌.A	V	7939605
⺀.Y	E	7902990
马.A	C	7621544
足.A	Y	7584494
