# 当量分布统计
# 平均当量: 0.1507
# 变异系数(CV): 1.1772
# 标准差: 0.1774
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
度	0.9175	1082785
白	0.8667	2322211
色	0.7500	1988512
长	0.7333	3100060
目	0.7333	1365310
突	0.7050	1106693
时	0.7000	8207119
怪	0.6975	1036985
叫	0.6750	1780163
它	0.6450	1298568
向	0.6333	2570964
强	0.6250	1361353
虽	0.6250	1211358
击	0.6200	1010628
开	0.5775	4346834
东	0.5750	1783570
思	0.5600	1438567
教	0.5500	1071585
处	0.5275	1626691
指	0.5275	1099010
#
# 当量最低的20个高频字 (字频>1000000):
车	0.0000	1338066
转	0.0000	1276312
孩	0.0000	1251885
工	0.0000	1242237
云	0.0000	1205872
至	0.0000	1199059
干	0.0000	1197831
哥	0.0000	1176477
魔	0.0000	1160330
姐	0.0000	1158924
剑	0.0000	1151704
早	0.0000	1138903
音	0.0000	1100301
且	0.0000	1092816
利	0.0000	1091519
步	0.0000	1077549
影	0.0000	1067165
传	0.0000	1034638
钱	0.0000	1034329
随	0.0000	1016322
