# 当量分布统计
# 平均当量: 0.1323
# 变异系数(CV): 1.3221
# 标准差: 0.1748
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
时	0.6750	4323350
色	0.5375	1047510
少	0.5350	1022010
法	0.5025	1474190
全	0.4700	1098450
把	0.4375	2000870
神	0.4375	1322140
分	0.4250	1353190
想	0.4200	3234720
开	0.4150	2289830
本	0.4125	1358840
吗	0.4125	1068570
回	0.4050	1900800
与	0.4000	1108640
手	0.4000	2674030
所	0.3925	1861730
等	0.3900	1054680
高	0.3833	1351680
着	0.3750	5881750
多	0.3675	2432250
#
# 当量最低的20个高频字 (字频>1000000):
明	0.0000	1508960
儿	0.0000	1501380
才	0.0000	1461800
几	0.0000	1454270
实	0.0000	1378320
十	0.0000	1352340
学	0.0000	1352000
口	0.0000	1251120
因	0.0000	1229830
次	0.0000	1215520
军	0.0000	1198430
做	0.0000	1187890
门	0.0000	1176540
主	0.0000	1135910
住	0.0000	1114070
果	0.0000	1109100
日	0.0000	1024590
战	0.0000	1013640
理	0.0000	1002950
重	0.0000	1001310
