# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0034	1.0000	+1.0034	1.0068
w	3.7171	4.0000	-0.2829	0.0800
e	3.3463	3.0000	+0.3463	0.1199
r	3.8188	4.0000	-0.1812	0.0328
t	1.7649	1.5000	+0.2649	0.0702
y	1.7731	1.5000	+0.2731	0.0746
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9523	1.0000	+0.9523	0.9069
a	1.9722	2.0000	-0.0278	0.0008
s	5.7331	5.0000	+0.7331	0.5375
d	6.1287	9.0000	-2.8713	8.2444
f	6.0248	8.0000	-1.9752	3.9013
g	4.8834	5.0000	-0.1166	0.0136
h	5.2420	5.0000	+0.2420	0.0586
j	5.6878	9.0000	-3.3122	10.9705
k	9.6145	10.0000	-0.3855	0.1486
l	6.1709	4.0000	+2.1709	4.7126
z	0.0000	0.0000	+0.0000	0.0000
x	2.8996	2.0000	+0.8996	0.8093
c	2.6022	2.0000	+0.6022	0.3626
v	5.1630	5.0000	+0.1630	0.0266
b	2.2309	1.5000	+0.7309	0.5342
n	3.8555	4.5000	-0.6445	0.4154
m	4.1429	3.5000	+0.6429	0.4133
