# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7162	1.0000	+0.7162	0.5130
w	3.6024	4.0000	-0.3976	0.1581
e	3.3463	3.0000	+0.3463	0.1199
r	4.1251	4.0000	+0.1251	0.0156
t	2.5907	1.5000	+1.0907	1.1896
y	1.7980	1.5000	+0.2980	0.0888
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0024	1.0000	+1.0024	1.0049
a	1.9722	2.0000	-0.0278	0.0008
s	6.3940	5.0000	+1.3940	1.9433
d	6.7190	9.0000	-2.2810	5.2031
f	4.8170	8.0000	-3.1830	10.1315
g	4.8565	5.0000	-0.1435	0.0206
h	4.3345	5.0000	-0.6655	0.4429
j	6.4858	9.0000	-2.5142	6.3210
k	9.8984	10.0000	-0.1016	0.0103
l	5.2444	4.0000	+1.2444	1.5485
z	0.0000	0.0000	+0.0000	0.0000
x	2.6996	2.0000	+0.6996	0.4895
c	2.3729	2.0000	+0.3729	0.1391
v	4.1370	5.0000	-0.8630	0.7448
b	2.3759	1.5000	+0.8759	0.7671
n	5.2335	4.5000	+0.7335	0.5380
m	4.0056	3.5000	+0.5056	0.2556
