# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9377	1.5000	+0.4377	0.1916
w	5.1267	4.0000	+1.1267	1.2694
e	3.3692	3.0000	+0.3692	0.1363
r	4.1492	4.0000	+0.1492	0.0223
t	2.0502	2.0000	+0.0502	0.0025
y	1.6577	1.5000	+0.1577	0.0249
u	1.6951	2.0000	-0.3049	0.0929
i	4.8044	3.5000	+1.3044	1.7014
o	2.8793	3.0000	-0.1207	0.0146
p	1.8858	1.5000	+0.3858	0.1488
a	2.0020	2.0000	+0.0020	0.0000
s	5.4760	5.0000	+0.4760	0.2266
d	6.2044	7.0000	-0.7956	0.6329
f	4.6446	6.0000	-1.3554	1.8370
g	5.0299	5.0000	+0.0299	0.0009
h	4.9532	5.0000	-0.0468	0.0022
j	6.7517	7.0000	-0.2483	0.0617
k	10.4813	10.0000	+0.4813	0.2317
l	5.2960	5.0000	+0.2960	0.0876
z	0.0000	0.0000	+0.0000	0.0000
x	2.9297	2.5000	+0.4297	0.1846
c	2.5834	2.5000	+0.0834	0.0070
v	4.0925	5.0000	-0.9075	0.8236
b	1.9707	1.5000	+0.4707	0.2216
n	4.2538	4.5000	-0.2462	0.0606
m	3.7755	3.5000	+0.2755	0.0759
