# 当量分布统计
# 平均当量: 0.1620
# 变异系数(CV): 1.2159
# 标准差: 0.1970
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
万	0.9350	1201402
女	0.7800	3362646
杀	0.7525	1095880
着	0.7450	11165468
目	0.7333	1365310
车	0.7333	1338066
飞	0.7200	1593771
来	0.6950	14837007
时	0.6750	8207119
接	0.6625	1671342
她	0.6500	7870163
度	0.6500	1082785
样	0.6450	4769842
本	0.6450	2579524
与	0.6125	2104552
思	0.5600	1438567
微	0.5375	1082510
部	0.5175	1972176
此	0.5000	2725965
记	0.4875	1094800
#
# 当量最低的20个高频字 (字频>1000000):
认	0.0000	1184729
失	0.0000	1182384
哥	0.0000	1176477
士	0.0000	1175727
惊	0.0000	1161953
结	0.0000	1132776
突	0.0000	1106693
音	0.0000	1100301
且	0.0000	1092816
倒	0.0000	1085421
教	0.0000	1071585
喜	0.0000	1069981
影	0.0000	1067165
谁	0.0000	1064240
怪	0.0000	1036985
钱	0.0000	1034329
提	0.0000	1026285
言	0.0000	1026005
随	0.0000	1016322
服	0.0000	1011511
