# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9093	1.5000	+0.4093	0.1675
w	4.1243	4.0000	+0.1243	0.0155
e	3.3463	3.0000	+0.3463	0.1199
r	3.5378	4.0000	-0.4622	0.2137
t	2.1318	2.0000	+0.1318	0.0174
y	1.5400	1.5000	+0.0400	0.0016
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0064	1.5000	+0.5064	0.2565
a	1.9722	2.0000	-0.0278	0.0008
s	5.8793	5.0000	+0.8793	0.7732
d	5.7728	7.0000	-1.2272	1.5059
f	4.8929	6.0000	-1.1071	1.2257
g	5.2736	5.0000	+0.2736	0.0748
h	5.0467	5.0000	+0.0467	0.0022
j	6.6522	7.0000	-0.3478	0.1209
k	9.9954	10.0000	-0.0046	0.0000
l	5.7089	5.0000	+0.7089	0.5026
z	0.0000	0.0000	+0.0000	0.0000
x	2.8763	2.5000	+0.3763	0.1416
c	2.8937	2.5000	+0.3937	0.1550
v	5.1003	5.0000	+0.1003	0.0101
b	2.0587	1.5000	+0.5587	0.3121
n	3.6855	4.5000	-0.8145	0.6633
m	4.3229	3.5000	+0.8229	0.6771
