# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.2882	1.5000	+0.7882	0.6212
w	4.3138	4.0000	+0.3138	0.0985
e	3.3463	3.0000	+0.3463	0.1199
r	3.7350	4.0000	-0.2650	0.0702
t	2.5844	2.0000	+0.5844	0.3416
y	1.9357	1.5000	+0.4357	0.1899
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.8617	1.5000	+0.3617	0.1308
a	1.9722	2.0000	-0.0278	0.0008
s	5.0369	5.0000	+0.0369	0.0014
d	4.9225	7.0000	-2.0775	4.3160
f	4.6795	6.0000	-1.3205	1.7438
g	5.2199	5.0000	+0.2199	0.0483
h	4.4216	5.0000	-0.5784	0.3346
j	6.1617	7.0000	-0.8383	0.7028
k	9.8907	10.0000	-0.1093	0.0119
l	6.5641	5.0000	+1.5641	2.4465
z	0.0000	0.0000	+0.0000	0.0000
x	3.2055	2.5000	+0.7055	0.4977
c	2.6855	2.5000	+0.1855	0.0344
v	5.3959	5.0000	+0.3959	0.1567
b	2.0652	1.5000	+0.5652	0.3195
n	4.2964	4.5000	-0.2036	0.0415
m	4.1448	3.5000	+0.6448	0.4157
