# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9965	1.0000	+0.9965	0.9929
w	4.4228	4.0000	+0.4228	0.1788
e	3.3463	3.0000	+0.3463	0.1199
r	3.8526	4.0000	-0.1474	0.0217
t	2.2115	1.5000	+0.7115	0.5062
y	2.3623	1.5000	+0.8623	0.7436
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9713	1.0000	+0.9713	0.9435
a	1.9722	2.0000	-0.0278	0.0008
s	4.9454	5.0000	-0.0546	0.0030
d	6.2932	9.0000	-2.7068	7.3268
f	5.4178	8.0000	-2.5822	6.6677
g	5.1021	5.0000	+0.1021	0.0104
h	4.0297	5.0000	-0.9703	0.9414
j	6.5471	9.0000	-2.4529	6.0167
k	10.6606	10.0000	+0.6606	0.4364
l	5.8377	4.0000	+1.8377	3.3770
z	0.0000	0.0000	+0.0000	0.0000
x	2.5559	2.0000	+0.5559	0.3090
c	2.7625	2.0000	+0.7625	0.5814
v	4.5474	5.0000	-0.4526	0.2048
b	2.1563	1.5000	+0.6563	0.4307
n	3.8345	4.5000	-0.6655	0.4428
m	3.9014	3.5000	+0.4014	0.1611
