# 当量分布统计
# 平均当量: 0.1435
# 变异系数(CV): 1.1767
# 标准差: 0.1689
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
思	0.8600	1438567
怕	0.7700	1114820
目	0.7333	1365310
别	0.7275	2000757
李	0.6625	1462547
心	0.6333	6555833
西	0.6333	1778761
红	0.6175	1282649
明	0.6000	2864492
位	0.6000	1682896
万	0.6000	1201402
并	0.5833	1624589
云	0.5500	1205872
至	0.5333	1199059
黑	0.5200	1292192
进	0.4900	2706350
让	0.4625	2999423
体	0.4500	1799811
关	0.4425	1675433
武	0.4425	1003136
#
# 当量最低的20个高频字 (字频>1000000):
立	0.0000	1293824
转	0.0000	1276312
工	0.0000	1242237
非	0.0000	1219442
虽	0.0000	1211358
干	0.0000	1197831
失	0.0000	1182384
火	0.0000	1180390
哥	0.0000	1176477
五	0.0000	1170398
惊	0.0000	1161953
剑	0.0000	1151704
斯	0.0000	1105720
音	0.0000	1100301
紧	0.0000	1099517
倒	0.0000	1085421
影	0.0000	1067165
谁	0.0000	1064240
容	0.0000	1038318
传	0.0000	1034638
