# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7844	1.5000	+0.2844	0.0809
w	4.4569	4.0000	+0.4569	0.2088
e	3.9115	3.0000	+0.9115	0.8309
r	3.4133	4.0000	-0.5867	0.3443
t	1.9741	2.0000	-0.0259	0.0007
y	1.8868	1.5000	+0.3868	0.1496
u	1.9438	2.0000	-0.0562	0.0032
i	3.6890	3.0000	+0.6890	0.4747
o	3.1602	2.5000	+0.6602	0.4359
p	2.2619	1.5000	+0.7619	0.5805
a	2.2123	1.0000	+1.2123	1.4697
s	5.2194	5.0000	+0.2194	0.0481
d	5.0829	8.0000	-2.9171	8.5096
f	8.3019	7.0000	+1.3019	1.6949
g	5.0634	5.0000	+0.0634	0.0040
h	5.4442	5.0000	+0.4442	0.1973
j	6.9141	7.0000	-0.0859	0.0074
k	7.9970	9.0000	-1.0030	1.0060
l	5.7286	4.0000	+1.7286	2.9879
z	0.0000	0.0000	+0.0000	0.0000
x	3.0652	3.0000	+0.0652	0.0043
c	1.7831	1.5000	+0.2831	0.0802
v	5.0118	5.0000	+0.0118	0.0001
b	2.0928	1.5000	+0.5928	0.3514
n	3.4516	4.5000	-1.0484	1.0992
m	4.1498	3.5000	+0.6498	0.4223
