# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.7786	1.0000	+0.7786	0.6062
w	4.8543	4.0000	+0.8543	0.7299
e	3.3463	3.0000	+0.3463	0.1199
r	4.1359	4.0000	+0.1359	0.0185
t	2.0191	1.5000	+0.5191	0.2694
y	1.8483	1.5000	+0.3483	0.1213
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.7079	1.0000	+0.7079	0.5011
a	1.9722	2.0000	-0.0278	0.0008
s	5.6536	5.0000	+0.6536	0.4272
d	4.9265	9.0000	-4.0735	16.5930
f	6.0392	8.0000	-1.9608	3.8447
g	4.4660	5.0000	-0.5340	0.2851
h	4.6229	5.0000	-0.3771	0.1422
j	7.0421	9.0000	-1.9579	3.8334
k	10.5958	10.0000	+0.5958	0.3550
l	5.2387	4.0000	+1.2387	1.5344
z	0.0000	0.0000	+0.0000	0.0000
x	3.0329	2.0000	+1.0329	1.0669
c	2.2285	2.0000	+0.2285	0.0522
v	4.4115	5.0000	-0.5885	0.3463
b	2.2793	1.5000	+0.7793	0.6072
n	4.7557	4.5000	+0.2557	0.0654
m	3.7721	3.5000	+0.2721	0.0740
