# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0504	1.5000	+0.5504	0.3029
w	4.7530	4.0000	+0.7530	0.5670
e	3.3463	3.0000	+0.3463	0.1199
r	3.9705	4.0000	-0.0295	0.0009
t	2.0096	2.0000	+0.0096	0.0001
y	1.7410	1.5000	+0.2410	0.0581
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9969	1.5000	+0.4969	0.2469
a	1.9722	2.0000	-0.0278	0.0008
s	5.4880	5.0000	+0.4880	0.2381
d	4.9392	7.0000	-2.0608	4.2469
f	6.6681	6.0000	+0.6681	0.4463
g	5.1718	5.0000	+0.1718	0.0295
h	4.8199	5.0000	-0.1801	0.0325
j	5.8660	7.0000	-1.1340	1.2860
k	10.4273	10.0000	+0.4273	0.1826
l	6.3063	5.0000	+1.3063	1.7064
z	0.0000	0.0000	+0.0000	0.0000
x	2.8793	2.5000	+0.3793	0.1438
c	2.7161	2.5000	+0.2161	0.0467
v	3.3752	5.0000	-1.6248	2.6399
b	2.0550	1.5000	+0.5550	0.3080
n	4.2318	4.5000	-0.2682	0.0719
m	3.9435	3.5000	+0.4435	0.1967
