# 当量分布统计
# 平均当量: 0.1297
# 变异系数(CV): 1.3070
# 标准差: 0.1696
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
时	0.6750	4323350
作	0.6000	1284130
色	0.4500	1047510
本	0.4125	1358840
所	0.4000	1861730
高	0.4000	1351680
部	0.4000	1038900
张	0.3875	1041560
开	0.3850	2289830
法	0.3750	1474190
那	0.3500	5230780
全	0.3500	1098450
回	0.3375	1900800
两	0.3375	1739680
风	0.3375	1145760
着	0.3250	5881750
分	0.3125	1353190
此	0.3000	1435990
第	0.3000	1347940
光	0.3000	1151390
#
# 当量最低的20个高频字 (字频>1000000):
儿	0.0000	1501380
才	0.0000	1461800
几	0.0000	1454270
三	0.0000	1447490
实	0.0000	1378320
向	0.0000	1354330
十	0.0000	1352340
其	0.0000	1273250
吧	0.0000	1265940
口	0.0000	1251120
因	0.0000	1229830
次	0.0000	1215520
门	0.0000	1176540
主	0.0000	1135910
果	0.0000	1109100
别	0.0000	1053960
日	0.0000	1024590
战	0.0000	1013640
理	0.0000	1002950
重	0.0000	1001310
