# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8208	1.0000	+0.8208	0.6737
w	4.1455	4.0000	+0.1455	0.0212
e	3.9050	3.0000	+0.9050	0.8190
r	1.9416	4.0000	-2.0584	4.2372
t	1.8815	1.5000	+0.3815	0.1455
y	1.6271	1.5000	+0.1271	0.0162
u	2.9787	2.0000	+0.9787	0.9578
i	6.6764	3.5000	+3.1764	10.0897
o	4.2847	3.0000	+1.2847	1.6503
p	1.8193	1.0000	+0.8193	0.6712
a	3.5716	2.0000	+1.5716	2.4699
s	4.5941	5.0000	-0.4059	0.1648
d	7.9238	9.0000	-1.0762	1.1582
f	9.8658	8.0000	+1.8658	3.4811
g	3.0759	5.0000	-1.9241	3.7022
h	3.6267	5.0000	-1.3733	1.8858
j	9.5090	9.0000	+0.5090	0.2590
k	6.6657	10.0000	-3.3343	11.1172
l	5.8257	4.0000	+1.8257	3.3333
z	0.0000	0.0000	+0.0000	0.0000
x	1.6243	2.0000	-0.3757	0.1411
c	1.5429	2.0000	-0.4571	0.2089
v	3.1282	5.0000	-1.8718	3.5037
b	1.4605	1.5000	-0.0395	0.0016
n	3.0069	4.5000	-1.4931	2.2293
m	3.4983	3.5000	-0.0017	0.0000
