# 当量分布统计
# 平均当量: 0.1604
# 变异系数(CV): 1.0007
# 标准差: 0.1605
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
作	0.6900	1284130
没	0.6000	3982670
听	0.5750	1290380
当	0.5375	1810660
分	0.5375	1353190
重	0.5250	1001310
小	0.4667	3362880
行	0.4000	1452180
了	0.4000	18338520
手	0.4000	2674030
身	0.4000	2539030
见	0.4000	1823190
力	0.4000	1737650
走	0.4000	1591000
正	0.4000	1545520
高	0.4000	1351680
其	0.4000	1273250
日	0.4000	1024590
样	0.3975	2512660
所	0.3875	1861730
#
# 当量最低的20个高频字 (字频>1000000):
回	0.0000	1900800
笑	0.0000	1884540
眼	0.0000	1841260
年	0.0000	1825530
从	0.0000	1671880
让	0.0000	1580040
法	0.0000	1474190
三	0.0000	1447490
此	0.0000	1435990
十	0.0000	1352340
怎	0.0000	1327650
神	0.0000	1322140
边	0.0000	1289880
因	0.0000	1229830
门	0.0000	1176540
住	0.0000	1114070
全	0.0000	1098450
二	0.0000	1092400
理	0.0000	1002950
直	0.0000	1002140
