# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9707	1.5000	+0.4707	0.2215
w	4.5271	4.0000	+0.5271	0.2778
e	3.3463	3.0000	+0.3463	0.1199
r	4.4027	4.0000	+0.4027	0.1622
t	2.1920	2.0000	+0.1920	0.0369
y	1.9087	1.5000	+0.4087	0.1671
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.8920	1.5000	+0.3920	0.1537
a	1.9722	2.0000	-0.0278	0.0008
s	5.6225	5.0000	+0.6225	0.3875
d	6.2799	7.0000	-0.7201	0.5186
f	4.6659	6.0000	-1.3341	1.7797
g	4.3796	5.0000	-0.6204	0.3849
h	5.3698	5.0000	+0.3698	0.1367
j	5.6017	7.0000	-1.3983	1.9553
k	10.3359	10.0000	+0.3359	0.1128
l	5.6088	5.0000	+0.6088	0.3706
z	0.0000	0.0000	+0.0000	0.0000
x	2.9404	2.5000	+0.4404	0.1940
c	2.5946	2.5000	+0.0946	0.0090
v	5.2305	5.0000	+0.2305	0.0531
b	1.9589	1.5000	+0.4589	0.2106
n	4.2996	4.5000	-0.2004	0.0402
m	3.6275	3.5000	+0.1275	0.0163
