# 线程: 12
# 综合得分: 0.5450
# 重码数: 785
# 重码率: 0.029189%
# 加权键均当量: 0.1638
# 当量变异系数(CV): 1.1881
# 用指分布偏差(L2): 48.3000
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
一.A	F	203352260
口.A	D	201313561
丶.A	L	134560917
日.A	J	119273677
口.S	K	108477708
亻.A	N	106025374
丶.S	D	102787534
人.A	W	94138610
勹.A	S	91285816
一.S	Y	87983108
白.A	H	86449889
扌.A	F	70675067
土.A	K	69835241
丿.A	F	68825267
月.A	R	65756921
辶.A	H	65694277
辶.S	C	62531819
木.A	W	56486590
丨.A	L	56039775
厶.A	N	55705929
人.S	R	55644323
女.A	L	50391945
大.A	M	49605543
小.A	N	48722119
又.A	V	48496087
土.S	T	46823040
ナ.A	J	46615814
亻.S	R	45917484
寸.A	L	44603806
也.A	F	44467566
也.S	Y	44464706
氵.A	V	43555817
女.S	N	42662906
月.S	Y	41364325
八.A	P	40846748
戈.A	H	40372227
一.Y	I	40065641
目.A	R	39529244
大.S	D	39513813
心.A	J	39436090
讠.A	H	38917370
不.A	K	38803455
不.S	B	38754867
龰.A	H	38431235
乙.A	W	37861180
阝.A	L	36908136
寸.S	C	36271749
戈.S	G	35862285
匕.A	L	35716602
日.S	R	35467177
了.A	J	35251866
了.S	L	35237489
了.Y	E	34812434
龰.S	V	34167093
⺈.A	L	33965546
夊.A	M	33400386
厶.S	S	33359338
十.A	P	33149193
小.S	X	32323767
刂.A	P	32001918
又.S	Y	31418428
力.A	G	30953355
宀.A	S	30661493
心.S	X	30486144
王.A	K	29969785
不.Y	U	29858097
儿.A	G	29779268
木.S	M	29297286
丷.A	K	29295332
目.S	M	28289883
子.A	J	28012405
二.A	V	27915362
刂.S	D	27686392
丨.S	S	27599492
䒑.A	K	25563443
丿.S	P	25196813
子.S	V	24827047
阝.S	F	24253627
八.S	B	24164545
米.A	X	24113647
文.A	G	23681470
立.A	T	23310911
艹.A	G	23039242
王.S	W	22623667
丁.A	H	22390866
门.A	X	22123733
纟.A	Y	22112994
乂.A	T	22037283
冂.A	Q	21492882
ナ.S	V	20976443
文.S	W	20849591
冖.A	L	20597586
夕.A	H	20463268
门.S	M	20427486
{乞上}.A	N	20386840
自.A	W	20123657
匕.S	B	19363343
力.S	L	18993472
彳.A	D	18949009
彐.A	S	18895060
{奉下}.A	T	18836769
夊.S	S	18737420
人.Y	E	18697044
忄.A	M	18377970
禾.A	K	17489631
十.S	S	17312409
米.S	M	16999049
工.A	K	16902804
乚.A	G	16694505
亠.A	R	16639945
{京上}.A	S	16096690
上.A	D	16048891
扌.S	S	15664662
至.A	X	15638843
工.S	G	15457047
囗.A	R	15414401
上.S	S	15335647
灬.A	N	15205696
耂.A	K	15112275
斤.A	C	14850899
{于下}.A	L	14702775
尤.A	D	14644155
至.S	V	14536595
ㄩ.A	H	14440683
艮.A	L	14111895
讠.S	Y	14086184
⺮.A	T	14084219
里.A	Q	14069297
几.A	J	13966866
氵.S	S	13922739
尤.S	Y	13890357
艮.S	G	13815858
里.S	L	13745245
车.A	S	13584393
龶.A	K	13381978
己.A	T	13146521
