# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.9726	1.5000	+0.4726	0.2234
w	4.0207	4.0000	+0.0207	0.0004
e	3.3463	3.0000	+0.3463	0.1199
r	3.4541	4.0000	-0.5459	0.2980
t	1.9917	2.0000	-0.0083	0.0001
y	1.7293	1.5000	+0.2293	0.0526
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9976	1.5000	+0.4976	0.2476
a	1.9722	2.0000	-0.0278	0.0008
s	6.1105	5.0000	+1.1105	1.2332
d	5.3039	7.0000	-1.6961	2.8769
f	5.2104	6.0000	-0.7896	0.6234
g	5.4485	5.0000	+0.4485	0.2012
h	5.2171	5.0000	+0.2171	0.0471
j	7.0855	7.0000	+0.0855	0.0073
k	10.1432	10.0000	+0.1432	0.0205
l	5.7052	5.0000	+0.7052	0.4973
z	0.0000	0.0000	+0.0000	0.0000
x	2.5991	2.5000	+0.0991	0.0098
c	2.9207	2.5000	+0.4207	0.1769
v	4.5181	5.0000	-0.4819	0.2323
b	1.9811	1.5000	+0.4811	0.2315
n	4.0324	4.5000	-0.4676	0.2186
m	3.9671	3.5000	+0.4671	0.2182
