# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0476	1.0000	+1.0476	1.0975
w	3.9093	4.0000	-0.0907	0.0082
e	3.3463	3.0000	+0.3463	0.1199
r	3.1665	4.0000	-0.8335	0.6947
t	1.9439	1.5000	+0.4439	0.1971
y	1.7955	1.5000	+0.2955	0.0873
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.4689	1.0000	+1.4689	2.1577
a	1.9722	2.0000	-0.0278	0.0008
s	5.0850	5.0000	+0.0850	0.0072
d	6.4656	9.0000	-2.5344	6.4229
f	5.3329	8.0000	-2.6671	7.1133
g	5.4045	5.0000	+0.4045	0.1636
h	4.1616	5.0000	-0.8384	0.7030
j	6.5855	9.0000	-2.4145	5.8300
k	10.5448	10.0000	+0.5448	0.2968
l	5.2153	4.0000	+1.2153	1.4769
z	0.0000	0.0000	+0.0000	0.0000
x	2.6810	2.0000	+0.6810	0.4638
c	2.3976	2.0000	+0.3976	0.1581
v	4.8369	5.0000	-0.1631	0.0266
b	2.3224	1.5000	+0.8224	0.6763
n	4.3163	4.5000	-0.1837	0.0338
m	4.7278	3.5000	+1.2278	1.5074
