# 当量分布统计
# 平均当量: 0.1430
# 变异系数(CV): 1.2757
# 标准差: 0.1824
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
行	1.0333	1452180
二	0.7333	1092400
时	0.6750	4323350
些	0.5500	1976570
实	0.5500	1378320
她	0.5400	4145850
高	0.5133	1351680
死	0.4150	1042680
来	0.4125	7815850
样	0.4125	2512660
问	0.4125	1527500
本	0.4125	1358840
两	0.4000	1739680
学	0.3875	1352000
回	0.3550	1900800
色	0.3500	1047510
相	0.3375	1073400
方	0.3167	1828860
打	0.3125	1518360
所	0.3000	1861730
#
# 当量最低的20个高频字 (字频>1000000):
让	0.0000	1580040
正	0.0000	1545520
明	0.0000	1508960
儿	0.0000	1501380
才	0.0000	1461800
三	0.0000	1447490
将	0.0000	1385020
怎	0.0000	1327650
其	0.0000	1273250
吧	0.0000	1265940
口	0.0000	1251120
因	0.0000	1229830
军	0.0000	1198430
门	0.0000	1176540
果	0.0000	1109100
等	0.0000	1054680
别	0.0000	1053960
日	0.0000	1024590
直	0.0000	1002140
重	0.0000	1001310
