# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.3486	1.0000	+0.3486	0.1215
w	4.4327	4.0000	+0.4327	0.1872
e	3.3463	3.0000	+0.3463	0.1199
r	3.5926	4.0000	-0.4074	0.1660
t	1.4881	1.5000	-0.0119	0.0001
y	1.8221	1.5000	+0.3221	0.1038
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.1506	1.0000	+1.1506	1.3238
a	1.9722	2.0000	-0.0278	0.0008
s	5.6205	5.0000	+0.6205	0.3851
d	7.2178	9.0000	-1.7822	3.1761
f	5.5184	8.0000	-2.4816	6.1584
g	4.8168	5.0000	-0.1832	0.0336
h	4.4314	5.0000	-0.5686	0.3233
j	5.8082	9.0000	-3.1918	10.1873
k	10.3353	10.0000	+0.3353	0.1124
l	5.8626	4.0000	+1.8626	3.4692
z	0.0000	0.0000	+0.0000	0.0000
x	3.1989	2.0000	+1.1989	1.4373
c	2.8752	2.0000	+0.8752	0.7660
v	4.1407	5.0000	-0.8593	0.7385
b	2.3604	1.5000	+0.8604	0.7403
n	4.2471	4.5000	-0.2529	0.0640
m	4.1409	3.5000	+0.6409	0.4108
