# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1135	1.5000	+0.6135	0.3764
w	4.6988	4.0000	+0.6988	0.4883
e	3.0939	3.0000	+0.0939	0.0088
r	3.5606	4.0000	-0.4394	0.1931
t	2.1930	2.0000	+0.1930	0.0372
y	1.7435	1.5000	+0.2435	0.0593
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.7496	2.5000	+1.2496	1.5614
p	2.0918	1.5000	+0.5918	0.3502
a	2.2123	1.0000	+1.2123	1.4697
s	5.4854	5.0000	+0.4854	0.2356
d	6.3493	8.0000	-1.6507	2.7249
f	5.7868	7.0000	-1.2132	1.4719
g	4.8575	5.0000	-0.1425	0.0203
h	5.2529	5.0000	+0.2529	0.0640
j	7.4262	7.0000	+0.4262	0.1816
k	9.8275	9.0000	+0.8275	0.6848
l	4.7450	4.0000	+0.7450	0.5550
z	0.0000	0.0000	+0.0000	0.0000
x	3.2121	3.0000	+0.2121	0.0450
c	2.0810	1.5000	+0.5810	0.3376
v	3.7214	5.0000	-1.2786	1.6348
b	2.2005	1.5000	+0.7005	0.4907
n	4.0712	4.5000	-0.4288	0.1839
m	3.6710	3.5000	+0.1710	0.0292
