# 当量分布统计
# 平均当量: 0.1568
# 变异系数(CV): 1.1419
# 标准差: 0.1791
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
思	1.1100	1438567
使	0.7775	1415240
部	0.7725	1972176
突	0.7525	1106693
长	0.7333	3100060
目	0.7333	1365310
时	0.6750	8207119
公	0.6500	2055138
向	0.6333	2570964
林	0.6200	1435296
后	0.6000	6544446
击	0.6000	1010628
接	0.5750	1671342
轻	0.5600	1720467
处	0.5500	1626691
微	0.5375	1082510
少	0.5350	1940099
问	0.5275	2899681
流	0.5250	1114438
果	0.5200	2105431
#
# 当量最低的20个高频字 (字频>1000000):
干	0.0000	1197831
哥	0.0000	1176477
士	0.0000	1175727
惊	0.0000	1161953
剑	0.0000	1151704
结	0.0000	1132776
斯	0.0000	1105720
音	0.0000	1100301
利	0.0000	1091519
合	0.0000	1085786
倒	0.0000	1085421
步	0.0000	1077549
影	0.0000	1067165
告	0.0000	1054831
落	0.0000	1054311
象	0.0000	1041105
容	0.0000	1038318
怪	0.0000	1036985
随	0.0000	1016322
每	0.0000	1015025
