# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.1678	1.5000	+0.6678	0.4460
w	4.6808	4.0000	+0.6808	0.4634
e	3.3463	3.0000	+0.3463	0.1199
r	3.3816	4.0000	-0.6184	0.3824
t	1.7196	2.0000	-0.2804	0.0786
y	1.3409	1.5000	-0.1591	0.0253
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9579	1.5000	+0.4579	0.2097
a	1.9722	2.0000	-0.0278	0.0008
s	6.2560	5.0000	+1.2560	1.5776
d	6.3967	7.0000	-0.6033	0.3640
f	4.2063	6.0000	-1.7937	3.2173
g	5.5002	5.0000	+0.5002	0.2502
h	4.0696	5.0000	-0.9304	0.8657
j	6.1193	7.0000	-0.8807	0.7756
k	10.8650	10.0000	+0.8650	0.7482
l	4.9963	5.0000	-0.0037	0.0000
z	0.0000	0.0000	+0.0000	0.0000
x	3.0282	2.5000	+0.5282	0.2790
c	3.3935	2.5000	+0.8935	0.7984
v	4.5909	5.0000	-0.4091	0.1674
b	2.2543	1.5000	+0.7543	0.5690
n	3.7562	4.5000	-0.7438	0.5533
m	4.7276	3.5000	+1.2276	1.5070
