线程	总静重	通规静重	国字静重	知乎简动(‱)	北语简动(‱)	台标繁动(‱)	古籍繁动(‱)	混合动重(‱)	知乎当量	北语当量	台繁当量	古繁当量	混合当量
Thread-07	709	728	194	1.82	2.2426	23.79	35.10	23.52	1.2736	1.2746	1.3066	1.3032	1.2968
Thread-03	714	716	205	1.51	2.3098	29.50	34.87	33.39	1.2807	1.2747	1.3185	1.3174	1.3033
Thread-02	722	740	235	1.81	2.5634	19.10	32.62	19.01	1.2854	1.2822	1.3164	1.3295	1.3045
Thread-01	709	719	215	1.73	2.6173	24.46	30.67	23.50	1.2877	1.2854	1.3217	1.3312	1.3096
Thread-05	718	726	230	1.97	2.6187	33.28	46.44	31.36	1.2860	1.2829	1.3184	1.3186	1.3061
Thread-04	711	756	206	1.93	2.6561	27.09	35.80	30.81	1.2888	1.2874	1.3197	1.3259	1.3078
Thread-00	708	751	197	2.26	2.7592	25.74	49.95	22.28	1.2793	1.2752	1.3135	1.3168	1.2986
Thread-06	735	770	207	2.14	2.8693	22.68	35.93	28.49	1.2782	1.2741	1.3154	1.3145	1.3005
