# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.3176	1.5000	+0.8176	0.6685
w	4.5572	4.0000	+0.5572	0.3105
e	3.0939	3.0000	+0.0939	0.0088
r	3.1582	4.0000	-0.8418	0.7086
t	2.0769	2.0000	+0.0769	0.0059
y	1.8823	1.5000	+0.3823	0.1461
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.7496	2.5000	+1.2496	1.5614
p	2.1065	1.5000	+0.6065	0.3679
a	2.2123	1.0000	+1.2123	1.4697
s	5.3973	5.0000	+0.3973	0.1578
d	6.7377	8.0000	-1.2623	1.5933
f	4.7784	7.0000	-2.2216	4.9357
g	5.0942	5.0000	+0.0942	0.0089
h	4.6317	5.0000	-0.3683	0.1357
j	5.8724	7.0000	-1.1276	1.2716
k	9.4124	9.0000	+0.4124	0.1701
l	6.0394	4.0000	+2.0394	4.1592
z	0.0000	0.0000	+0.0000	0.0000
x	3.8100	3.0000	+0.8100	0.6561
c	2.0715	1.5000	+0.5715	0.3266
v	4.1022	5.0000	-0.8978	0.8061
b	2.2423	1.5000	+0.7423	0.5510
n	4.1839	4.5000	-0.3161	0.1000
m	4.6169	3.5000	+1.1169	1.2474
