# 线程: 1
# 综合得分: 0.3941
# 重码数: 785
# 重码率: 0.023382%
# 加权键均当量: 0.1536
# 当量变异系数(CV): 1.1365
# 用指分布偏差(L2): 9.4667
#
# 格式: 字根名 [tab] 编码 [tab] 使用次数(频率加权)
#
一.A	F	203352260
口.A	L	201313561
丶.A	G	134560917
日.A	H	119273677
口.S	K	108477708
亻.A	S	106025374
丶.Y	I	98914968
人.A	K	94138610
勹.A	M	91285816
一.S	K	87983108
白.A	W	86449889
扌.A	M	70675067
土.A	V	69835241
丿.A	D	68825267
月.A	D	65756921
辶.A	J	65694277
木.A	R	56486590
丨.A	S	56039775
厶.A	H	55705929
人.S	R	55644323
女.A	V	50391945
一.Y	O	50134001
大.A	J	49605543
小.A	N	48722119
又.A	X	48496087
土.S	D	46823040
ナ.A	J	46615814
亻.Y	E	45917484
寸.A	L	44603806
也.A	D	44467566
也.S	K	44464706
氵.A	C	43555817
女.S	N	42662906
月.S	K	41364325
八.A	N	40846748
戈.A	D	40372227
目.A	W	39529244
大.S	D	39513813
心.A	H	39436090
讠.A	K	38917370
不.A	K	38803455
不.S	B	38754867
龰.A	X	38431235
乙.A	N	37861180
阝.A	P	36908136
不.Y	O	36634242
寸.S	C	36271749
戈.S	G	35862285
匕.A	J	35716602
日.S	R	35467177
了.A	J	35251866
了.S	L	35237489
了.Y	A	34860650
龰.Y	U	34166868
⺈.A	G	33965546
人.Y	E	33555297
夊.A	Y	33400386
十.A	F	33149193
小.S	X	32323767
刂.A	V	32001918
又.S	K	31418428
力.A	Q	30953355
宀.A	F	30661493
心.S	X	30486144
王.A	Y	29969785
儿.A	J	29779268
木.S	M	29297286
丷.A	R	29295332
目.S	M	28289883
子.A	J	28012405
二.A	T	27915362
䒑.A	R	25563443
子.S	V	24827047
八.S	B	24164545
米.A	D	24113647
阝.Y	A	23701702
文.A	S	23681470
立.A	X	23310911
艹.A	N	23039242
王.S	W	22623667
丁.A	G	22390866
门.A	T	22123733
纟.A	X	22112994
辶.Y	I	22106950
乂.A	T	22037283
冂.A	J	21492882
ナ.Y	O	20952198
文.S	W	20849591
冖.A	G	20597586
文.Y	I	20498348
夕.A	L	20463268
门.S	M	20427486
{乞上}.A	Q	20386840
自.A	K	20123657
匕.S	B	19363343
力.S	L	18993472
彳.A	L	18949009
彐.A	D	18895060
{奉下}.A	W	18836769
忄.A	B	18377970
禾.A	W	17489631
十.S	S	17312409
丿.Y	E	17009006
米.S	M	16999049
工.A	Y	16902804
乚.A	N	16694505
