# 当量分布统计
# 平均当量: 0.1536
# 变异系数(CV): 1.1365
# 标准差: 0.1746
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
紧	1.0275	1099517
东	1.0250	1783570
思	0.9800	1438567
长	0.7333	3100060
白	0.7333	2322211
目	0.7333	1365310
时	0.7000	8207119
作	0.6750	2437693
亲	0.6725	1388321
突	0.6625	1106693
公	0.6500	2055138
向	0.6333	2570964
离	0.6000	1222359
指	0.6000	1099010
新	0.5850	1232035
刚	0.5750	1561764
色	0.5625	1988512
提	0.5625	1026285
安	0.5500	1580103
乎	0.5375	1157322
#
# 当量最低的20个高频字 (字频>1000000):
工	0.0000	1242237
满	0.0000	1238021
非	0.0000	1219442
云	0.0000	1205872
似	0.0000	1203009
至	0.0000	1199059
干	0.0000	1197831
哥	0.0000	1176477
魔	0.0000	1160330
姐	0.0000	1158924
剑	0.0000	1151704
往	0.0000	1143435
早	0.0000	1138903
斯	0.0000	1105720
音	0.0000	1100301
且	0.0000	1092816
合	0.0000	1085786
倒	0.0000	1085421
步	0.0000	1077549
越	0.0000	1069176
