# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.2063	1.5000	+0.7063	0.4989
w	4.8772	4.0000	+0.8772	0.7694
e	3.3463	3.0000	+0.3463	0.1199
r	3.8748	4.0000	-0.1252	0.0157
t	1.9026	2.0000	-0.0974	0.0095
y	1.9696	1.5000	+0.4696	0.2205
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9711	1.5000	+0.4711	0.2219
a	1.9722	2.0000	-0.0278	0.0008
s	4.6577	5.0000	-0.3423	0.1171
d	6.3954	7.0000	-0.6046	0.3656
f	5.2790	6.0000	-0.7210	0.5198
g	5.3215	5.0000	+0.3215	0.1033
h	5.2912	5.0000	+0.2912	0.0848
j	6.6914	7.0000	-0.3086	0.0952
k	9.2449	10.0000	-0.7551	0.5701
l	5.8556	5.0000	+0.8556	0.7320
z	0.0000	0.0000	+0.0000	0.0000
x	2.6210	2.5000	+0.1210	0.0146
c	2.9236	2.5000	+0.4236	0.1794
v	3.5068	5.0000	-1.4932	2.2296
b	2.0045	1.5000	+0.5045	0.2545
n	4.5760	4.5000	+0.0760	0.0058
m	4.2388	3.5000	+0.7388	0.5458
