# 当量分布统计
# 平均当量: 0.1343
# 变异系数(CV): 1.2977
# 标准差: 0.1743
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
时	0.6750	4323350
色	0.5875	1047510
为	0.5750	3850400
少	0.5500	1022010
次	0.5375	1215520
动	0.4750	1618940
全	0.4400	1098450
进	0.4250	1425650
年	0.4000	1825530
前	0.3850	2090190
着	0.3500	5881750
所	0.3500	1861730
什	0.3300	2543490
意	0.3125	1932670
回	0.3125	1900800
与	0.3050	1108640
此	0.3000	1435990
光	0.3000	1151390
张	0.2875	1041560
等	0.2700	1054680
#
# 当量最低的20个高频字 (字频>1000000):
儿	0.0000	1501380
才	0.0000	1461800
三	0.0000	1447490
种	0.0000	1398040
实	0.0000	1378320
向	0.0000	1354330
高	0.0000	1351680
怎	0.0000	1327650
因	0.0000	1229830
军	0.0000	1198430
做	0.0000	1187890
门	0.0000	1176540
主	0.0000	1135910
住	0.0000	1114070
果	0.0000	1109100
候	0.0000	1087790
日	0.0000	1024590
理	0.0000	1002950
直	0.0000	1002140
重	0.0000	1001310
