# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0745	1.5000	+0.5745	0.3301
w	4.0744	4.0000	+0.0744	0.0055
e	3.3692	3.0000	+0.3692	0.1363
r	4.2849	4.0000	+0.2849	0.0812
t	2.0737	2.0000	+0.0737	0.0054
y	1.7163	1.5000	+0.2163	0.0468
u	1.6951	2.0000	-0.3049	0.0929
i	4.8044	3.5000	+1.3044	1.7014
o	2.8793	3.0000	-0.1207	0.0146
p	2.2965	1.5000	+0.7965	0.6345
a	2.0020	2.0000	+0.0020	0.0000
s	5.3022	5.0000	+0.3022	0.0913
d	4.9016	7.0000	-2.0984	4.4031
f	5.6162	6.0000	-0.3838	0.1473
g	4.7605	5.0000	-0.2395	0.0574
h	5.0595	5.0000	+0.0595	0.0035
j	7.1238	7.0000	+0.1238	0.0153
k	9.6896	10.0000	-0.3104	0.0964
l	5.8854	5.0000	+0.8854	0.7839
z	0.0000	0.0000	+0.0000	0.0000
x	2.9132	2.5000	+0.4132	0.1707
c	2.2301	2.5000	-0.2699	0.0728
v	4.4547	5.0000	-0.5453	0.2974
b	2.0849	1.5000	+0.5849	0.3421
n	4.6717	4.5000	+0.1717	0.0295
m	4.0362	3.5000	+0.5362	0.2875
