# 当量分布统计
# 平均当量: 0.1504
# 变异系数(CV): 1.1634
# 标准差: 0.1750
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
叫	0.7775	1780163
度	0.7625	1082785
长	0.7333	3100060
目	0.7333	1365310
白	0.7000	2322211
时	0.6750	8207119
向	0.6333	2570964
东	0.6325	1783570
体	0.6000	1799811
总	0.6000	1273655
机	0.5875	1672100
火	0.5667	1180390
思	0.5600	1438567
接	0.5500	1671342
处	0.5275	1626691
黑	0.5200	1292192
由	0.5000	1400586
先	0.4875	1662684
突	0.4750	1106693
生	0.4400	4966773
#
# 当量最低的20个高频字 (字频>1000000):
干	0.0000	1197831
认	0.0000	1184729
哥	0.0000	1176477
士	0.0000	1175727
惊	0.0000	1161953
魔	0.0000	1160330
乎	0.0000	1157322
剑	0.0000	1151704
早	0.0000	1138903
斯	0.0000	1105720
音	0.0000	1100301
半	0.0000	1095098
合	0.0000	1085786
倒	0.0000	1085421
步	0.0000	1077549
影	0.0000	1067165
谁	0.0000	1064240
怪	0.0000	1036985
随	0.0000	1016322
每	0.0000	1015025
