# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.4874	1.5000	+0.9874	0.9750
w	4.4118	4.0000	+0.4118	0.1696
e	1.4175	1.5000	-0.0825	0.0068
r	3.9010	4.0000	-0.0990	0.0098
t	1.9650	2.0000	-0.0350	0.0012
y	5.2829	1.5000	+3.7829	14.3102
u	0.6120	1.0000	-0.3880	0.1506
i	1.6444	1.5000	+0.1444	0.0209
o	1.0873	1.0000	+0.0873	0.0076
p	2.9566	1.5000	+1.4566	2.1217
a	1.1382	1.0000	+0.1382	0.0191
s	7.3879	5.0000	+2.3879	5.7021
d	6.0508	8.0000	-1.9492	3.7993
f	5.1517	7.0000	-1.8483	3.4162
g	5.5669	5.0000	+0.5669	0.3213
h	5.4008	5.0000	+0.4008	0.1606
j	5.9804	7.0000	-1.0196	1.0395
k	8.3674	9.0000	-0.6326	0.4001
l	6.5019	4.0000	+2.5019	6.2597
z	0.0000	0.0000	+0.0000	0.0000
x	2.9566	3.0000	-0.0434	0.0019
c	3.0182	1.5000	+1.5182	2.3050
v	5.7841	5.0000	+0.7841	0.6148
b	2.5012	1.5000	+1.0012	1.0023
n	3.6644	4.5000	-0.8356	0.6983
m	4.7636	3.5000	+1.2636	1.5966
