# 当量分布统计
# 平均当量: 0.1448
# 变异系数(CV): 1.1432
# 标准差: 0.1656
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
四	0.8050	1598102
言	0.7833	1026005
认	0.7750	1184729
目	0.7333	1365310
表	0.7333	1303318
金	0.7033	1291889
跟	0.6875	1547565
信	0.6725	1529741
体	0.6500	1799811
心	0.6333	6555833
思	0.6275	1438567
机	0.6000	1672100
姐	0.6000	1158924
容	0.5525	1038318
国	0.5500	3063867
黑	0.5200	1292192
吗	0.5125	2028487
部	0.5050	1972176
分	0.4750	2568782
结	0.4700	1132776
#
# 当量最低的20个高频字 (字频>1000000):
孩	0.0000	1251885
工	0.0000	1242237
至	0.0000	1199059
火	0.0000	1180390
士	0.0000	1175727
魔	0.0000	1160330
剑	0.0000	1151704
流	0.0000	1114438
斯	0.0000	1105720
半	0.0000	1095098
记	0.0000	1094800
倒	0.0000	1085421
度	0.0000	1082785
步	0.0000	1077549
教	0.0000	1071585
深	0.0000	1060800
象	0.0000	1041105
钱	0.0000	1034329
服	0.0000	1011511
击	0.0000	1010628
