# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.5955	1.0000	+0.5955	0.3546
w	4.5156	4.0000	+0.5156	0.2659
e	6.0926	3.0000	+3.0926	9.5643
r	2.7012	4.0000	-1.2988	1.6869
t	1.6739	1.5000	+0.1739	0.0302
y	1.3109	1.5000	-0.1891	0.0358
u	2.7441	2.0000	+0.7441	0.5537
i	5.6789	3.5000	+2.1789	4.7478
o	4.2267	3.0000	+1.2267	1.5048
p	2.2656	1.0000	+1.2656	1.6017
a	3.9332	2.0000	+1.9332	3.7371
s	4.6071	5.0000	-0.3929	0.1544
d	8.0087	9.0000	-0.9913	0.9826
f	7.2503	8.0000	-0.7497	0.5620
g	4.1987	5.0000	-0.8013	0.6421
h	3.5827	5.0000	-1.4173	2.0088
j	8.0090	9.0000	-0.9910	0.9821
k	9.5062	10.0000	-0.4938	0.2439
l	3.7855	4.0000	-0.2145	0.0460
z	0.0000	0.0000	+0.0000	0.0000
x	1.3012	2.0000	-0.6988	0.4883
c	1.3611	2.0000	-0.6389	0.4081
v	3.5651	5.0000	-1.4349	2.0590
b	1.6648	1.5000	+0.1648	0.0272
n	2.7215	4.5000	-1.7785	3.1631
m	3.6999	3.5000	+0.1999	0.0400
