# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.6275	1.5000	+0.1275	0.0163
w	3.7809	4.0000	-0.2191	0.0480
e	3.3692	3.0000	+0.3692	0.1363
r	3.5543	4.0000	-0.4457	0.1987
t	1.5188	2.0000	-0.4812	0.2316
y	1.9814	1.5000	+0.4814	0.2317
u	1.6951	2.0000	-0.3049	0.0929
i	4.8044	3.5000	+1.3044	1.7014
o	2.8793	3.0000	-0.1207	0.0146
p	2.3681	1.5000	+0.8681	0.7536
a	2.0020	2.0000	+0.0020	0.0000
s	5.6069	5.0000	+0.6069	0.3683
d	9.0831	7.0000	+2.0831	4.3395
f	5.0219	6.0000	-0.9781	0.9566
g	4.7739	5.0000	-0.2261	0.0511
h	4.0852	5.0000	-0.9148	0.8369
j	7.0332	7.0000	+0.0332	0.0011
k	9.5557	10.0000	-0.4443	0.1974
l	5.3737	5.0000	+0.3737	0.1397
z	0.0000	0.0000	+0.0000	0.0000
x	3.0174	2.5000	+0.5174	0.2677
c	2.4121	2.5000	-0.0879	0.0077
v	3.3120	5.0000	-1.6880	2.8493
b	2.0261	1.5000	+0.5261	0.2768
n	4.9215	4.5000	+0.4215	0.1776
m	4.1961	3.5000	+0.6961	0.4845
