# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0807	1.5000	+0.5807	0.3373
w	4.5256	4.0000	+0.5256	0.2762
e	3.0939	3.0000	+0.0939	0.0088
r	3.4014	4.0000	-0.5986	0.3584
t	2.0216	2.0000	+0.0216	0.0005
y	1.8826	1.5000	+0.3826	0.1464
u	1.9438	2.0000	-0.0562	0.0032
i	3.9115	3.0000	+0.9115	0.8309
o	3.7496	2.5000	+1.2496	1.5614
p	2.2631	1.5000	+0.7631	0.5824
a	2.2123	1.0000	+1.2123	1.4697
s	5.8357	5.0000	+0.8357	0.6984
d	6.7801	8.0000	-1.2199	1.4883
f	6.8173	7.0000	-0.1827	0.0334
g	3.0981	5.0000	-1.9019	3.6174
h	5.2502	5.0000	+0.2502	0.0626
j	5.6890	7.0000	-1.3110	1.7188
k	9.7837	9.0000	+0.7837	0.6142
l	4.8260	4.0000	+0.8260	0.6823
z	0.0000	0.0000	+0.0000	0.0000
x	3.8141	3.0000	+0.8141	0.6628
c	1.8777	1.5000	+0.3777	0.1427
v	4.5582	5.0000	-0.4418	0.1952
b	2.0984	1.5000	+0.5984	0.3581
n	3.9237	4.5000	-0.5763	0.3322
m	4.5618	3.5000	+1.0618	1.1273
