Thread	总静重	通规静重	国字静重	知乎简动	北语简动	台繁简动	古籍简动	混合简动	候选个数(通规、国字、全集)	知乎当量	北语当量	台繁当量	古籍当量	混合当量	简码效率(top 50，知频 / 北频)	简码效率(top 100，知频 / 北频)	"简码效率(max, 知频/北频)"	Top 3000 常用字重码组数和字数	Top 6000 常用字重码组数和字数	小指干扰	
thread-06	778	746	176	1.09	1.79	29.14	40.15	26.39	"4, 3, 21"	1.2855	1.2881	1.3145	1.3169	1.3096	3.162 / 3.149	3.044 / 3.032	2.837 / 2.817	"2, 4"	"115, 231"		
thread-04	773	731	247	1.45	1.85	38.33	54.38	31.61	"4, 3, 20"	1.2854	1.2868	1.3198	1.3220	1.3090	3.123 / 3.106	2.982 / 2.971	2.752 / 2.739	"2, 4"	"120, 243"		
thread-02	756	696	238	1.26	1.95	37.18	47.55	31.70	"4, 2, 17"	1.2829	1.2857	1.3131	1.3180	1.3063	3.125 / 3.108	2.988 / 2.978	2.763 / 2.752	"2, 4"	"112, 226"		
thread-05	786	758	221	1.16	1.97	25.40	37.22	25.45	"4, 3, 27"	1.2842	1.2861	1.3065	1.3136	1.3018	3.151 / 3.132	3.015 / 3.003	2.778 / 2.778	"2, 4"	"113, 227"		
thread-03	790	786	231	1.24	2.00	43.16	74.35	39.48	"4, 3, 17"	1.2878	1.2886	1.3160	1.3152	1.3072	3.142 / 3.134	3.016 / 3.013	2.783 / 2.772	"2, 4"	"134, 270"		
thread-00	756	739	224	1.34	2.17	33.98	50.20	34.04	"4, 3, 18"	1.2829	1.2841	1.3168	1.3154	1.3070	3.150 / 3.145	3.012 / 3.014	2.785 / 2.794	"3, 6"	"122, 249"		
thread-07	784	755	222	1.25	2.25	28.24	43.44	27.62	"4, 3, 20"	1.2877	1.2883	1.3225	1.3250	1.3117	3.133 / 3.129	3.000 / 2.999	2.773 / 2.764	"2, 4"	"128, 259"		
thread-01	785	790	221	1.90	2.45	23.73	34.97	23.75	"3, 4, 21"	1.2912	1.2929	1.3207	1.3194	1.3117	3.149 / 3.137	3.027 / 3.014	2.804 / 2.780	"3, 6"	"132, 267"		
