# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	2.0132	1.0000	+1.0132	1.0265
w	4.7116	4.0000	+0.7116	0.5064
e	3.3463	3.0000	+0.3463	0.1199
r	3.7446	4.0000	-0.2554	0.0652
t	1.8322	1.5000	+0.3322	0.1103
y	2.1129	1.5000	+0.6129	0.3757
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	1.9781	1.0000	+0.9781	0.9567
a	1.9722	2.0000	-0.0278	0.0008
s	4.6250	5.0000	-0.3750	0.1406
d	4.9141	9.0000	-4.0859	16.6943
f	7.0720	8.0000	-0.9280	0.8613
g	4.8577	5.0000	-0.1423	0.0202
h	4.8111	5.0000	-0.1889	0.0357
j	7.0624	9.0000	-1.9376	3.7544
k	9.7052	10.0000	-0.2948	0.0869
l	5.7771	4.0000	+1.7771	3.1580
z	0.0000	0.0000	+0.0000	0.0000
x	3.3411	2.0000	+1.3411	1.7984
c	2.0156	2.0000	+0.0156	0.0002
v	4.7300	5.0000	-0.2700	0.0729
b	2.2794	1.5000	+0.7794	0.6075
n	3.9168	4.5000	-0.5832	0.3401
m	3.9088	3.5000	+0.4088	0.1671
