# 当量分布统计
# 平均当量: 0.1385
# 变异系数(CV): 1.2742
# 标准差: 0.1765
#
# 当量最高的20个高频字 (字频>1000000):
# 汉字	当量	字频
时	0.7000	4323350
果	0.6000	1109100
进	0.5825	1425650
部	0.5375	1038900
为	0.4750	3850400
同	0.4425	1377360
全	0.4400	1098450
学	0.4350	1352000
吗	0.4125	1068570
白	0.4000	1223300
后	0.3925	3447490
别	0.3875	1053960
高	0.3833	1351680
色	0.3500	1047510
着	0.3250	5881750
以	0.3000	3436280
所	0.3000	1861730
此	0.3000	1435990
最	0.3000	1360650
第	0.3000	1347940
#
# 当量最低的20个高频字 (字频>1000000):
打	0.0000	1518360
明	0.0000	1508960
儿	0.0000	1501380
几	0.0000	1454270
行	0.0000	1452180
三	0.0000	1447490
向	0.0000	1354330
十	0.0000	1352340
怎	0.0000	1327650
作	0.0000	1284130
其	0.0000	1273250
吧	0.0000	1265940
却	0.0000	1252650
口	0.0000	1251120
门	0.0000	1176540
主	0.0000	1135910
二	0.0000	1092400
日	0.0000	1024590
理	0.0000	1002950
重	0.0000	1001310
