# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8951	1.0000	+0.8951	0.8012
w	5.0957	4.0000	+1.0957	1.2005
e	3.3463	3.0000	+0.3463	0.1199
r	4.2753	4.0000	+0.2753	0.0758
t	1.6686	1.5000	+0.1686	0.0284
y	2.4470	1.5000	+0.9470	0.8969
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0526	1.0000	+1.0526	1.1079
a	1.9722	2.0000	-0.0278	0.0008
s	5.6542	5.0000	+0.6542	0.4280
d	4.4759	9.0000	-4.5241	20.4676
f	5.8354	8.0000	-2.1646	4.6856
g	4.5792	5.0000	-0.4208	0.1771
h	5.4117	5.0000	+0.4117	0.1695
j	6.0924	9.0000	-2.9076	8.4542
k	10.0665	10.0000	+0.0665	0.0044
l	5.0129	4.0000	+1.0129	1.0259
z	0.0000	0.0000	+0.0000	0.0000
x	2.8386	2.0000	+0.8386	0.7032
c	2.7491	2.0000	+0.7491	0.5611
v	4.6816	5.0000	-0.3184	0.1014
b	2.1696	1.5000	+0.6696	0.4484
n	4.4585	4.5000	-0.0415	0.0017
m	3.9490	3.5000	+0.4490	0.2016
