# 用指分布统计
# 键位	实际%	目标%	偏差	偏差²
q	1.8079	1.0000	+0.8079	0.6526
w	4.3611	4.0000	+0.3611	0.1304
e	3.3463	3.0000	+0.3463	0.1199
r	2.9459	4.0000	-1.0541	1.1112
t	2.6657	1.5000	+1.1657	1.3589
y	1.7831	1.5000	+0.2831	0.0801
u	1.6783	2.0000	-0.3217	0.1035
i	4.7476	3.5000	+1.2476	1.5564
o	2.8468	3.0000	-0.1532	0.0235
p	2.0991	1.0000	+1.0991	1.2080
a	1.9722	2.0000	-0.0278	0.0008
s	6.3158	5.0000	+1.3158	1.7314
d	6.4076	9.0000	-2.5924	6.7208
f	7.0278	8.0000	-0.9722	0.9451
g	3.6433	5.0000	-1.3567	1.8406
h	5.3379	5.0000	+0.3379	0.1142
j	7.1034	9.0000	-1.8966	3.5972
k	9.4115	10.0000	-0.5885	0.3463
l	5.7292	4.0000	+1.7292	2.9901
z	0.0000	0.0000	+0.0000	0.0000
x	2.6921	2.0000	+0.6921	0.4791
c	2.6529	2.0000	+0.6529	0.4262
v	4.1846	5.0000	-0.8154	0.6648
b	2.0743	1.5000	+0.5743	0.3298
n	3.1505	4.5000	-1.3495	1.8212
m	4.0153	3.5000	+0.5153	0.2655
